话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4754642795236472,3853952931,46 岁 丘索维金娜 战 杭州亚运会 杭州亚运会,留学杂志,f,True,3,0,10152,762,208.7万,35,2022/04/04,21:24:01,0,0,0
https://m.weibo.cn/detail/4805699471933494,2606218210,丘索维金娜 杭州亚运会 做 准备 日前 接受 媒体 采访 时 乌兹别克斯坦 传奇 体操 运动员 奥科萨娜 丘索维金娜 说 宣布 想 杭州亚运会 做 准备 想 运动 生涯 画 上 圆满 句号 光荣 方式 退役 丘索维金娜 表示 杭州 2022年 亚运会 推迟 选择 继续 训练中 等待 时机 参加 比赛 试练场 亚运会 2023年 举办 距离 巴黎 奥运会 只 年 时间 准备 继续 参赛 原因 昔日 丘索维金娜 拼命 参赛 赚取 重病 儿子 治疗 资金 故事 世界 为之动容 如今 怀着 体操 事业 深沉 热爱 仍 驻守 赛场 延续 属于 传奇 中国 蓝 新闻,中国妇女报,f,True,3,0,87634,843,1188.6万,48,2022/08/23,18:45:01,5,5,61
https://m.weibo.cn/detail/4816106806317871,1663072851,天才译者 深情 诠释 亚运 志愿者 精神 笔耕不辍 完成 22 部 共 600万 余 字 外文 译著 六 年 时间 自学 三门 外语 翻译 点 亮 生命 焰火 杭州亚运会 中国 移动杯 亚运 英语 星 大赛 颁奖 典礼 天才译者 杭州亚运会 社会 志愿者 金晓宇 讲述 亚运 情缘 亚运 英语 星 Z世代 说 微博 视频,中国日报,m,True,3,0,186279,436,6489.7万,48,2022/09/21,12:00:04,11,16,72
https://m.weibo.cn/detail/4840395588243627,1918021250,全球 首创 杭州亚运会 推出 亚运 数字 火炬 手 11月 27日 杭州亚运会 倒计时 300 天 之际 杭州亚组委 全球 首创性 发布 亚运 数字 人 平台 首创性 推出 亚运 数字 火炬 手 邀请 全球 网民 争 亚运 数字 火炬 手 参与 亚运线 上 火炬 传递 主题 活动 东方 网纵 相视 频孔 文龙 东方网 微博 视频,东方网,f,True,3,50,131020,542,551.6万,48,2022/11/27,12:35:01,0,1,0
https://m.weibo.cn/detail/4851002505431728,2619827023,杭州亚运会 杭州 亚残运 倒计时 300 天 一起 听 首 歌 都 永 不 彷徨 都 梦 闪亮 今天 杭州亚 残运会 宣传 推广 曲 都 发布 歌曲 云嘎 曹芙嘉 演唱 唱 出 运动员 跨越 重重 阻碍 勇敢 追梦 故事 分享 期待 央视 新闻 微博 视频,晋中新闻网,m,True,3,0,33479,242,33.6万,35,2022/12/26,19:03:07,0,0,0
https://m.weibo.cn/detail/4851043747506203,1936119834,杭州亚运会 杭州 亚残运 倒计时 300 天 一起 听 首 歌 都 永 不 彷徨 都 梦 闪亮 今天 杭州亚 残运会 宣传 推广 曲 都 发布 歌曲 云嘎 曹芙嘉 演唱 唱 出 运动员 跨越 重重 阻碍 勇敢 追梦 故事 分享 期待 央视 新闻 微博 视频,河北长城网,m,True,3,0,145970,2398,600.7万,46,2022/12/26,21:47:00,0,0,4
https://m.weibo.cn/detail/4895609402950170,3173633817,杭州亚运会 亚运 走 十 城 系列 活动 北京 收官 亚运 走 十 城 系列 活动 年月日 杭州 启动 先后 走 进 上海 西安 天津 武汉 成都 厦门 南京 广州 珠海 北京 丰富 活动 新颖 形式 串联 城市 间 亚运 情缘 带动 各地 群众 广泛 参与 体育运动 关注 杭州亚运会 AneventfeaturingpopularmascotstopromotethethAsianGamesinHang zhoutookplaceattheBeijingOlympicParkonT hursdayPhotosviaChenB o,CGTN,m,True,3,0,90683,138,606.9万,48,2023/04/28,21:15:00,1,0,8
https://m.weibo.cn/detail/4898055797348273,1749990115,亚运会 电竞国 家 集训队 名单 公布 月 日 杭州亚运会 电子 竞技 英雄 联盟 和平精英 亚运 版本 项目 国家 集训队 名单 公布 加油 电竞国 家 集训队 名单 公布,北京青年报,m,True,3,0,161130,1740,1497.5万,48,2023/05/05,15:16:06,0,2,1
https://m.weibo.cn/detail/4898074675120315,1663072851,杭州亚运会 电竞 项目 国家 集训队 名单 公布 快 看 熟悉 队员 电竞国 家 集训队 名单 公布 月 日 腾讯 社交 平台 公布 杭州亚运会 电子 竞技 英雄 联盟 和平精英 亚运 版本 项目 国家 集训队 名单 进行 公示 杭州亚运会 王者 荣耀 亚运 版本 FIFAOnline 项目 国家 集训队 名单 陆续 公示 目前 官方 公布 物料 看 运动员 传统 体育 项目 运动员 身 披 电竞 项目 国家 集训队 统一队 服据 悉待 名单 公示 确认 后 项目 相关 人员 陆续 参与 杭州亚运会,中国日报,m,True,3,0,186235,436,6489.7万,48,2023/05/05,16:31:07,1,7,54
https://m.weibo.cn/detail/4899414475277801,2418724427,杭州亚运会 特许 商品 北京 王府井 首发月 日 杭州年 亚运 特许 商品 亚运 融合 中国 印 系列 产品 北京 王府井 工美 大厦 举行 北京 首发式 亚运 融合 中国 印 杭州 奥体 中心 莲花 造型 主体 印玺 形式 文化 载体 融入 玉雕 錾刻 花丝 镶嵌 三 大 非 遗 技艺 美学 元素 展现 七 大 亚运 元素 亚运 融合 中国 印 北京 工艺美术 大师 郭鸣 领衔 设计 中国 工艺美术 大师 吴元全 王树文 冯道明 国礼 设计 团队 共同 创作 产品 整体 呈冠 造型 寓意 祝福 本届 赛事 运动 健儿 勇夺 桂冠 圆 梦 凯旋 杭州亚运会 亚 运动 态京 视频 微博 视频,北京发布,m,True,1,0,101141,633,899.8万,48,2023/05/09,09:15:00,2,0,3
https://m.weibo.cn/detail/4899880513044955,1927786044,杭州亚运会 特许 商品 上 新 这次 六款 金玉印 玺月 日 杭州亚运会 特许 商品 亚运 融合 中国 印 系列 产品 北京 举办 首发 仪式 正式 上 柜 销售 解 亚运 融合 中国 印 杭州 奥体 中心的 莲花 主体 造型 元素 印玺 形式 文化 载体 融入 亚运会 会徽 吉祥物 主题 口号 良渚 古城 遗址 京 杭 大运河 西湖 元素 展现 中国 文化 深厚 底蕴 亚运 融合 中国 印 分别 采用 金银玉 材质 打造 成 共有 六 款 产品 源央 视 新闻 客户 端 编辑 曹雪文 杭州亚运会 特许 商品 北京 王府井 首发 中国 旅游报 微博 视频,中国旅游报,f,True,3,0,28149,1661,40万,47,2023/05/10,16:06:51,0,1,1
https://m.weibo.cn/detail/4904937115359469,1647688972,DOTA国 家 集训队 名单 杭州亚运会 电子 竞技 刀塔 项目 国家 集训队 候选 人员 名单 正式 出炉 第十九 届 杭州亚运会 电子 竞技 项目 国家 集训队 参赛 人员 推荐 相关 说明 要求 综合 考虑 以上 项目 教练员 运动员 近期 国际 大赛 表现 国内 联赛 成绩 综合 职业 素养 参赛 意愿 讨论 审核 报 杭州亚运会 电子 竞技 项目 选拔 工作 领导 小组 备案 后 择优 推荐 杭州亚运会 电子 竞技 刀塔 项目 国家 集训队 候选 人员 名单 下现 名单 进行 公示 杭州亚运会 电子 竞技 项目 国家 集训队 候选 人员 推荐 名单 确认 后 相关 人员 陆续 参与 杭州亚运会 集训 工作 dota,环球人物杂志,m,True,3,0,39468,118,919.2万,48,2023/05/24,15:00:00,0,0,4
https://m.weibo.cn/detail/4904937115359469,1647688972,DOTA国 家 集训队 名单 杭州亚运会 电子 竞技 刀塔 项目 国家 集训队 候选 人员 名单 正式 出炉 第十九 届 杭州亚运会 电子 竞技 项目 国家 集训队 参赛 人员 推荐 相关 说明 要求 综合 考虑 以上 项目 教练员 运动员 近期 国际 大赛 表现 国内 联赛 成绩 综合 职业 素养 参赛 意愿 讨论 审核 报 杭州亚运会 电子 竞技 项目 选拔 工作 领导 小组 备案 后 择优 推荐 杭州亚运会 电子 竞技 刀塔 项目 国家 集训队 候选 人员 名单 下现 名单 进行 公示 杭州亚运会 电子 竞技 项目 国家 集训队 候选 人员 推荐 名单 确认 后 相关 人员 陆续 参与 杭州亚运会 集训 工作 dota,环球人物杂志,m,True,3,0,39468,118,919.2万,48,2023/05/24,15:00:00,0,0,4
https://m.weibo.cn/detail/4912471669999803,3173633817,直播 权威 发布国 新 办 举行 杭州亚运会 亚 残运会 筹办 情况 新闻 发布会 TheStateCouncilInformationO fficeholdsapressconferenceonpreparation sfortheHang zhouAsianGamesand AsianParaGamesCGTN 直播 直观 世界 CGTN 微博 视频,CGTN,m,True,3,0,90675,138,606.9万,48,2023/06/14,09:59:38,0,0,11
https://m.weibo.cn/detail/4912542168908884,2345597047,倒计时天 杭州亚运会 场馆 准备 就绪 中国 代表团 派 名 运动员 参赛 杭州亚运会 杭州亚运会 火种 采集 仪式 良渚 古城 遗址 举行 小康 杂志社 微博 视频,中国小康网,m,True,3,50,36857,1358,15.4万,41,2023/06/14,14:39:46,0,0,0
