话题链接,楼主ID,话题 内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4720631784150715,2636766700,排球 微评 2022年 我 的 一个 主要 的 愿望 是 可以 去 现场 观战 杭州亚运会 排球 比赛 听说 调整 了 赛程 以 避开 世锦赛 明智之举 上海,今日排球,m,true,0,1,41335,597,248.5万,48,2022/01/01,00:56:25,6,19,52
https://m.weibo.cn/detail/4720757176795614,5737852970,杭州亚运会 2022 预祝 杭州亚运会 圆圆满满 杭州 2022年 亚运会,浅浅拾亿,f,false,-1,0,152,349,36,9,2022/01/01,09:14:40,0,0,0
https://m.weibo.cn/detail/4720800340902704,5337419869,2022 有 你们 足以 一直 在 前进 杭州亚运会,杨一涵han,f,true,0,0,53,217,170,14,2022/01/01,12:06:12,0,1,0
https://m.weibo.cn/detail/4720832788301332,1036713140,2022 杭州亚运会 我们 准备 好 了 年 已经 来 临 杭州亚运会 的 脚步 也 越 来 越 近 各 赛区 的 亚运场馆 已经 陆续 竣工 并 交付 来 吧 跟随 我们 的 镜头 来 一 次 亚运场馆 的 巡礼 一起 迎接 杭州亚运会 的 到 来 遇见 美好 杭州 学习 强国 杭州 学习 平台 杭州网 的 微博 视频,杭州网,f,true,3,50,181437,506,200.3万,48,2022/01/01,14:15:08,0,0,2
https://m.weibo.cn/detail/4720922093421971,1036713140,离 通车 更 近 了 湖杭 高铁富 阳段 全线 钢轨 铺设 完成 近日 湖杭 高铁 完工 后 名称 为 合杭高铁湖杭段 富阳段 全线 钢轨 铺设 完成 朝着 杭州亚运会 前 开通 运营 的 目标 又 迈出 了 坚实 的 一 步 2021年 12月 30日 下午 记者 在 湖杭 高铁 富阳 西站 看到 站台 两侧 已经 铺 完 钢轨 的 轨道线 从 西站 一直 向 两边 延伸 除 了 轨道 上 依旧 还 留 有 部分 材料 包裹 看上去 和 通车 状态 差 不 多 旁边 的 站台 上 地砖 和 棚顶 都 已经 基本 完工 几 位 工人 正在 天花板 处 涂 白色 油漆 截至 目前 湖杭 高铁 项目 富阳段 累计 完成 投资 394亿 元 完成率 679 隧道 桥梁 路基 已 全部 完成 预计 2022年 5月 联调 联试 8月 亚运会 前 开通 运营 详离 通车 更 近 了 湖杭 高铁富 阳段 迎 来 重要 进展 富阳 日报,杭州网,f,true,3,50,181437,506,200.3万,48,2022/01/01,20:10:00,0,0,1
https://m.weibo.cn/detail/4720945207445646,7503994979,20220101 健身 生活库 里 507 记 三 分 历史 第一 创造 NBA 自然 年 新 纪录 公牛 超越 篮网 登 顶 东部 第一 亚运会 概念 视频 发布 劳斯莱斯 发布 莫斯科 限定 版库 里 NBA 法拉利 篮网 公牛 杭州亚运会 Resilient 衛世龗 的 微博 视频,卫世龗LING,m,false,-1,0,140,109,1.1万,0,2022/01/01,21:41:51,0,0,0
https://m.weibo.cn/detail/4720965848401886,6650515606,今天 2022年 的 第一 天 杭州 这 座 充满 活力 的 城市 正式 进入 2022 亚运 时间 在 辞旧迎新 之际 2022 迎 新年 盼 亚运 新年 主题 公益 亮灯 于 钱江新城 震撼 启幕 将 亚运 精神 汇聚 至 钱塘江畔 23 公里 光影 画卷 点燃 了 杭州 亚运人 对 2022 杭州亚运会 决胜 之 年 的 信心 与 燃力 更 书写 了 杭州 亚运人 内心 最 真挚 的 情感 与 祝福 钱江新城 灯光秀 元旦 杭州亚运会 钱江新城 灯光秀 的 微博 视频,钱江新城灯光秀,f,true,2,50,369,16,1487,4,2022/01/01,23:03:52,1,3,3
https://m.weibo.cn/detail/4721130743268860,6166308837,2022 是 杭州 的 亚运年 杭州亚运会 全世界 的 目光 将 再次 聚焦 杭州 这 座 兼 具 江南 婉约 与 现代 摩登 的 华美 之 城,西湖银行贷款买房垫资首付祝抵押,m,false,-1,0,10878,2643,414,9,2022/01/02,09:59:06,0,0,0
https://m.weibo.cn/detail/4721130281895886,6166308837,杭州亚运会 杭州 之 门,西湖银行贷款买房垫资首付祝抵押,m,false,-1,0,10878,2643,414,9,2022/01/02,09:57:16,0,0,0
https://m.weibo.cn/detail/4721598894704805,1312886617,2022 新年 第一 趴 杭州亚运会 倒计时 250 天,愚人慎独,m,false,220,0,11708,762,17.7万,38,2022/01/03,16:59:22,0,1,0
https://m.weibo.cn/detail/4721816206049834,1790694371,杭州 地铁 迎亚 运氛 围渐 浓 500 余 幅 亚运 灯箱 广告 亮相 杭州亚运会 潮 涌 舟山,千岛老兵驿站,m,true,0,0,1331,1202,1038,19,2022/01/04,07:22:53,0,1,0
https://m.weibo.cn/detail/4721909633650514,6272938925,樊振东 杭州 2022年 亚运会 今天 坐 地铁 看到 了 亚运村 这 一 站本 来 想 坐 过去 看看 发现 还 没 开通 哈哈哈 希望 到 时候 能 买 到 门票 去 看 樊咚 比赛 杭州亚运会,挺旺老板,m,false,-1,0,96,63,82,4,2022/01/04,13:34:08,0,0,5
