话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4720631784150715,2636766700,#排球微评# 2022年我的一个主要的愿望是，可以去现场观战#杭州亚运会# 排球比赛。听说调整了赛程，以避开世锦赛，明智之举。 上海 ,今日排球,m,true,0,1,41335,597,248.5万,48,2022/01/01,00:56:25,6,19,52
https://m.weibo.cn/detail/4720757176795614,5737852970,#杭州亚运会# 2022预祝杭州亚运会圆圆满满@杭州2022年亚运会,浅浅拾亿,f,false,-1,0,152,349,36,9,2022/01/01,09:14:40,0,0,0
https://m.weibo.cn/detail/4720800340902704,5337419869,2022有你们足以一直在前进#杭州亚运会# ,杨一涵han,f,true,0,0,53,217,170,14,2022/01/01,12:06:12,0,1,0
https://m.weibo.cn/detail/4720832788301332,1036713140,【#2022杭州亚运会# 我们准备好了！】年已经来临，#杭州亚运会# 的脚步也越来越近，各赛区的亚运场馆已经陆续竣工并交付。来吧！跟随我们的镜头，来一次亚运场馆的巡礼，一起迎接杭州亚运会的到来。#遇见美好杭州# （学习强国杭州学习平台）  杭州网的微博视频 ,杭州网,f,true,3,50,181437,506,200.3万,48,2022/01/01,14:15:08,0,0,2
https://m.weibo.cn/detail/4720922093421971,1036713140,【离通车更近了！#湖杭高铁# 富阳段全线钢轨铺设完成】近日，#湖杭高铁# （完工后名称为#合杭高铁湖杭段# ）富阳段全线钢轨铺设完成，朝着#杭州亚运会# 前开通运营的目标又迈出了坚实的一步。2021年12月30日下午，记者在湖杭高铁富阳西站看到，站台两侧已经铺完钢轨的轨道线从西站一直向两边延伸，除了轨道上依旧还留有部分材料包裹，看上去和通车状态差不多。旁边的站台上，地砖和棚顶都已经基本完工，几位工人正在天花板处涂白色油漆。截至目前，湖杭高铁项目富阳段累计完成投资39.4亿元，完成率67.9%，隧道、桥梁、路基已全部完成，预计2022年5月联调联试，8月亚运会前开通运营。详☞ 离通车更近了！湖杭高铁富阳段迎来重要进展！ （富阳日报）,杭州网,f,true,3,50,181437,506,200.3万,48,2022/01/01,20:10:00,0,0,1
https://m.weibo.cn/detail/4720945207445646,7503994979,2022.01.01健身生活｜库里507记三分历史第一创造NBA自然年新纪录；公牛超越篮网登顶东部第一；亚运会概念视频发布；劳斯莱斯发布莫斯科限定版库里#NBA##法拉利##篮网##公牛##杭州亚运会# Resilient衛世龗的微博视频 ,卫世龗LING,m,false,-1,0,140,109,1.1万,0,2022/01/01,21:41:51,0,0,0
https://m.weibo.cn/detail/4720965848401886,6650515606,今天，2022年的第一天，杭州这座充满活力的城市正式进入“2022亚运时间”。在辞旧迎新之际，“@2022·迎新年盼亚运”新年主题公益“亮灯”于钱江新城震撼启幕！将亚运精神汇聚至钱塘江畔2.3公里光影画卷，点燃了杭州亚运人对2022杭州亚运会决胜之年的信心与燃力！更书写了杭州亚运人内心最真挚的情感与祝福！#钱江新城灯光秀##元旦##杭州亚运会# 钱江新城灯光秀的微博视频,钱江新城灯光秀,f,true,2,50,369,16,1487,4,2022/01/01,23:03:52,1,3,3
https://m.weibo.cn/detail/4721130743268860,6166308837,2022是杭州的亚运年，#杭州亚运会# 全世界的目光将再次聚焦杭州，这座兼具江南婉约与现代摩登的华美之城。,西湖银行贷款买房垫资首付祝抵押,m,false,-1,0,10878,2643,414,9,2022/01/02,09:59:06,0,0,0
https://m.weibo.cn/detail/4721130281895886,6166308837,#杭州亚运会# 杭州之门,西湖银行贷款买房垫资首付祝抵押,m,false,-1,0,10878,2643,414,9,2022/01/02,09:57:16,0,0,0
https://m.weibo.cn/detail/4721598894704805,1312886617,2022新年第一趴#杭州亚运会# 倒计时250天 ,愚人慎独,m,false,220,0,11708,762,17.7万,38,2022/01/03,16:59:22,0,1,0
https://m.weibo.cn/detail/4721816206049834,1790694371,杭州地铁迎亚运氛围渐浓 500余幅亚运灯箱广告亮相#杭州亚运会##潮涌# 舟山 ,千岛老兵驿站,m,true,0,0,1331,1202,1038,19,2022/01/04,07:22:53,0,1,0
https://m.weibo.cn/detail/4721909633650514,6272938925,樊振东杭州2022年亚运会 今天坐地铁看到了亚运村这一站本来想坐过去看看发现还没开通哈哈哈希望到时候能买到门票去看樊咚比赛 #杭州亚运会# ,挺旺老板,m,false,-1,0,96,63,82,4,2022/01/04,13:34:08,0,0,5
https://m.weibo.cn/detail/4722242031716757,7561352513,[2022.1.1]第19届#杭州亚运会#,Serein珝同学,m,false,-1,0,73,82,14,0,2022/01/05,11:34:57,0,0,0
https://m.weibo.cn/detail/4722377667904055,1658958533,龚俊代言361度的海报，打着杭州亚运会的标，实在是对不住有着国美和西泠印社的杭州。后面的字我能猜出来是把整首苏东坡《水调歌头》拆开再乱拼的。设计师如果不懂书法，就不要乱搞好不好？东方未来，请从尊重传统文化做起。#361度##杭州亚运会##书法# 广州 ,绝对伏特加,m,true,0,1,35976,447,102.1万,39,2022/01/05,20:33:55,1,6,10
