话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4776010929407784,1661141453,运动员冲啊！#杭州亚运会# 杭州·亚运村自行车场馆 ,青年旅设,m,false,220,0,3580,2378,1153,30,2022/06/02,20:33:22,1,2,2
https://m.weibo.cn/detail/4776916295353163,5818871225,官宣延期！今天，亚洲奥林匹克理事会宣布，原定于2022年9月10日至25日在中国杭州举办的第19届亚洲运动会将延期举行，具体日期择期宣布。#杭州亚运会##体育#  番茄体育的微博视频 ,番茄体育,m,true,0,0,19804,501,9.9万,0,2022/06/05,08:30:58,0,1,0
https://m.weibo.cn/detail/4778089861090757,2789194754,"【#杭州亚运会#重大交通保障项目    沪杭高速公路临平段改建工程涉铁段主体结构顺利完工】6月8日，经过10多小时的连续浇筑，由杭州地方铁路开发有限公司代建、中铁二十四局参建的杭州亚运会重大交通基础保障项目——沪杭高速公路临平段改建工程下穿沪昆高铁段F匝道箱梁顶板混凝土浇筑顺利完成，即该工程5处下穿高铁匝道全部完成，标志着该项目工程主体结构顺利完工，沪杭高速公路、东湖高架与地面道路即将实现全部互联互通。据了解，沪杭高速公路临平段改建工程西起杭浦高速，东至运河二通道，与运河二通道的沪杭高速桥相接,全长3.04公里。作为杭州亚运会重大交通基础保障项目，该路段是打通临平新城南北区块协调发展的关键性工程，也是该地区落实“八八战略”、建设杭海新城，助力杭州接轨上海、融入长三角的桥头堡工程。（记者：高雅）",中国交通广播,m,true,3,0,94623,752,590.5万,48,2022/06/08,14:14:18,3,2,3
https://m.weibo.cn/detail/4778476383768124,7534064304,亚运会都没了，不会还有别的比赛吧#杭州亚运会#,DaniilMedve杰v,m,false,-1,0,594,1196,48,0,2022/06/09,15:50:12,0,0,0
https://m.weibo.cn/detail/4778491407238892,1605622705,【主播辣评：民进党无意间向世人普及“台湾是中国最大岛屿”的知识点】熟悉民进党当局操作的人都知道，凡是提及台湾与大陆关系的内容，准是勃然大怒。杭州亚运组委会出版的英文版《运动技术手册》中，称中国有大小岛屿7600多个，其中“台湾岛”最大。这一内容又引起了台湾陆委会的抗议。司空见惯，两个多月前，一款由大陆厂商生产的“欣欣兔故事机”的玩具部分语音内容包含“中国最大的岛屿是台湾岛”，也被批是“统战”。体育赛事本不应该掺杂政治因素，可无奈2016年民进党上台后，大陆的任何一点风吹草动，都会触碰那些活在意淫“台湾该如何回击大陆施压”的民进党人士的神经。至于以“台湾”的名义参与国际赛事的妄想，2017年的亚洲乒乓球锦标赛，大陆央视将台湾代表队官方称呼，由“中华台北队”改为“中国台北队”，已经给出了答案。#杭州亚运会##台湾##体育# 华广网--中国华艺广播公司的微博视频,华广网--中国华艺广播公司,m,true,3,50,33749,198,13万,43,2022/06/09,16:49:54,3,4,21
https://m.weibo.cn/detail/4778564387341344,3205295640,#浙里资讯一点通# 【“韵味杭州”2022年桐庐马术三项赛邀请赛拉开帷幕】6月7日到6月9日，“韵味杭州”2022年桐庐马术三项赛邀请赛在杭州桐庐马术中心举办。杭州亚运会期间，该场地预计产生6枚金牌。（视频来源：桐轩)#杭州亚运会##浙里亚运# 中新浙里的微博视频 ,中新浙里,f,true,3,50,58345,613,26.7万,45,2022/06/09,21:39:53,0,0,0
https://m.weibo.cn/detail/4779557238083876,5935422041,#杭州亚运会#,Sunshine小小小太阳呀,f,true,0,0,2981,1159,2.1万,23,2022/06/12,15:25:08,0,0,1
https://m.weibo.cn/detail/4779959186625324,5183167379,【筑梦亚运·探馆E起来：解锁富阳银湖体育中心】世界冠军徐东香、明星主播领衔带队，综艺游戏大PK、高能体育燃动全场。“绿色亚运 几何同行”一同打卡富阳银湖体育中心 #杭州亚运# #杭州亚运会# #沉浸式打卡亚运场馆# #筑梦亚运•探馆E起来# FM988浙江新闻的微博视频 ,FM988浙江新闻,m,true,2,-1,10816,499,1.3万,14,2022/06/13,18:02:20,0,0,0
https://m.weibo.cn/detail/4780321117046526,3899517058,轮滑 场地技术验收均已通过，条件具备，静待盛会！#轮滑# #赛事# #杭州亚运会#,米高轮滑-中国,m,true,2,50,1738,696,5008,18,2022/06/14,18:00:30,0,0,1
https://m.weibo.cn/detail/4780712152533458,6124664156,#杭州亚运会# 怎么不算有遗憾呢 杭州 ,北北yao_a_yao,f,false,-1,0,1457,357,9,4,2022/06/15,19:54:21,0,1,2
https://m.weibo.cn/detail/4781056832311295,3194655522,361度篮球#杭州亚运会# 亚运延期，但保持对篮球的热爱不延期BIG3 3.0 &amp;禅4 亚运会故事配色现已发售 BIG3 3.0PRO篮球鞋361 ,触地即燃,m,true,2,50,1313,231,10.2万,4,2022/06/16,18:43:59,2,9,22
https://m.weibo.cn/detail/4781762024574012,2995715092,爱生活爱运动🏀#运动##杭州亚运会# 杭州·杭州市职工文化中心 跳舞的冰激淋的微博视频 ,跳舞的冰激淋,f,false,-1,0,470,82,90,14,2022/06/18,17:26:10,0,1,2
https://m.weibo.cn/detail/4782007076786025,2426565464,2022年“我是亚运小主人”百校行走进杭州市崇文教育集团近江校区，击剑、跳绳，踢毽子，把杭州的文化魅力展现给五湖四海的朋友！#我是亚运小主人 ##杭州亚运会 ##大课间# 浙江少儿频道的微博视频 ,浙江少儿频道,f,true,3,50,9290,310,2.4万,29,2022/06/19,09:39:55,0,1,1
https://m.weibo.cn/detail/4782094985724517,7268291224,杭州亚运会苏炳添加油#杭州亚运会# ,洪世贤的储蓄柜,m,false,-1,0,7,52,6,0,2022/06/19,15:29:14,0,1,2
