楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
5560085111,1864461077,汪顺【亚运来了-我们和冠军有个约定】传递梦想携手向前，心心相容，一起向未来～#杭州亚运会##顺流而上##积极向上的四月# @汪順Steve ,,winnie阿咕,f,True,0,0,2254,340,379,27,2023/04/15,2023/4/18,00:03:12,0,0
5560085111,7241315643,汪顺【亚运来了-我们和冠军有个约定】传递梦想携手向前，心心相容，一起向未来～#杭州亚运会##顺流而上##积极向上的四月# @汪順Steve ,,顺流而上_8,f,True,0,0,374,116,201,0,2023/04/15,2023/4/16,23:48:41,0,0
5560085111,6858261438,汪顺【亚运来了-我们和冠军有个约定】传递梦想携手向前，心心相容，一起向未来～#杭州亚运会##顺流而上##积极向上的四月# @汪順Steve ,,Prudddyyy,f,False,-1,0,2083,369,124,9,2023/04/15,2023/4/15,22:56:32,0,0
5560085111,6665916335,汪顺【亚运来了-我们和冠军有个约定】传递梦想携手向前，心心相容，一起向未来～#杭州亚运会##顺流而上##积极向上的四月# @汪順Steve ,Cool 😎,Daidaidaiema,f,False,-1,0,4754,1300,1785,9,2023/04/15,2023/4/15,13:06:34,0,0
5560085111,6665916335,汪顺【亚运来了-我们和冠军有个约定】新疆阿克苏地区和兵团第一师的小运动员们对话奥运冠军，传承拼搏精神。热爱梦想坚定不移，#顺流而上#。#杭州亚运会##积极向上的四月# @叶诗文 @汪順Steve  视频源自|@浙江少儿频道 Steve专属的泳道的微博视频 ,加油,Daidaidaiema,f,False,-1,0,4754,1300,1785,9,2023/04/15,2023/4/15,13:06:22,0,0
3953261805,2605439511,百名亚运小记者走进Hello Kitty乐园#杭州亚运会##杭州hellokitty乐园##三丽鸥##大耳狗##hellokitty# ,加油啊！小记者们。,卓寅,m,False,-1,0,36197,879,3467,45,2023/04/15,2023/4/15,17:43:13,0,0
3953261805,5878659096,百名亚运小记者走进Hello Kitty乐园#杭州亚运会##杭州hellokitty乐园##三丽鸥##大耳狗##hellokitty# ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会,超话社区,m,True,7,0,22591,1161,2.4亿,39,2023/04/15,2023/4/15,17:31:22,0,0
3953261805,7299898385,百名亚运小记者走进Hello Kitty乐园#杭州亚运会##杭州hellokitty乐园##三丽鸥##大耳狗##hellokitty# ,,小小小朱的乐园,m,False,-1,0,111127,3428,229,0,2023/04/15,2023/4/16,14:26:10,0,0
5625254784,6413804298,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,如果只看春季赛的话 369和左手 elk 打野jiejie 辅助应该是meiko？,尖酸的伪都凶鱼,f,False,-1,0,70,96,51,4,2023/04/16,2023/4/16,17:46:25,11,5
5625254784,6869223772,#杭州亚运会# @丶涵艺 ：19号深圳 亚运会集训 名单MSI之前应该能定下来吧。 #2023LPL春决# ,369   xun/jiejie    knight/yagao  elk/Leave  missing/on,徒留沉默,m,False,-1,0,16,305,6,4,2023/04/16,2023/4/16,20:11:56,12,0
