话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4929728966559630,#杭州亚运会#请问需要代表团随团翻译吗？有大型国际赛事代表团翻译工作经验 ,7496674300,13-n,m,2023/08/01,00:53:58,0,0,0, , , , , , 
https://m.weibo.cn/detail/4929732859399498,杭州#杭州亚运会# #钱塘江# 散步偶然发现江边这么美丽 拍照很出片 旅游胜地推荐指数⭐️⭐️⭐️⭐️⭐️期待与杭州再次相遇 一个我很喜欢的城市 ,7793787963,悦姌露,f,2023/08/01,01:09:26,0,1,1, , , , , , 
 , , , , , , , , , ,2560475072,卉如风,f,2023/8/01,05:31:23,
https://m.weibo.cn/detail/4929836185551421,“全民学英语 一起迎亚运”，今天亚运频道“小小播报员”与大家一起来学习的亚运英语常用语是Where are you from（您从哪里来）。#全民学英语一起迎亚运# #小小播报员# #杭州亚运会# 杭州青少体育频道的微博视频 ,7555427911,杭州青少体育频道,m,2023/08/01,08:00:01,0,0,0, , , , , , 
https://m.weibo.cn/detail/4929863860096303,不错 ，想在亚运会开幕式听到《有你有我》!#杭州亚运会# ,2142435294,沐沐Shel,f,2023/08/01,09:49:59,0,3,21, , , , , , 
 , , , , , , , , , ,5878659096,超话社区,m,2023/8/01,09:50:33,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会
 , , , , , , , , , ,5322686358,星都不见草,f,2023/8/01,10:04:32,最好是杨芸晴过去现场live
https://m.weibo.cn/detail/4929857668258703,【“公众十条”！浙江这项行动，需要你～】#杭州亚运会# ,2234300122,浙江常山公安,m,2023/08/01,09:25:23,0,0,0, , , , , , 
https://m.weibo.cn/detail/4929855354047763,//@新昌公安://@绍兴公安:【“公众十条”！浙江这项行动，需要你～】#杭州亚运会# ,5657978237,醉入江心捞月,m,2023/08/01,09:16:11,0,0,0, , , , , , 
https://m.weibo.cn/detail/4929851503152293,//@新昌公安://@绍兴公安:【“公众十条”！浙江这项行动，需要你～】#杭州亚运会# ,7560952086,小鱼儿9566525,f,2023/08/01,09:00:53,0,0,0, , , , , , 
https://m.weibo.cn/detail/4929874734875617,英雄联盟杭州什么时候开票呢，召唤师们#杭州亚运会# ,6615879833,明月烟火乐仔,m,2023/08/01,10:33:12,0,0,3, , , , , , 
https://m.weibo.cn/detail/4929869118442460,//@新昌公安://@绍兴公安:【“公众十条”！浙江这项行动，需要你～】#杭州亚运会# ,6251347577,寻鑫宇航员-,m,2023/08/01,10:10:53,0,0,0, , , , , , 
https://m.weibo.cn/detail/4929938282513043,杭州亚运会在即～杨润雄局长前往📍杭州访问，分别与🤝🏻浙江省文化和旅游厅副厅长许澎🤝🏻杭州市文化广电旅游局党组成员兼二级巡视员刘宇峰会面，商讨深化浙港在文化及旅游方面的合作🥰浙江省的文化旅游资源丰富，我们期待共同深化在文化及旅游方面的合作，为打造精彩的中华文化旅游体验作出贡献，说好中国故事、香港故事✨️杨局长及康文署署长刘明光也有参与🤝🏻立法会民政及文化体育事务委员会杭州访问团的部分行程🤗杨润雄局长表示：「国家高度重视旅游业高质量发展，文化体育及旅游局成立以来，一直依循『以文塑旅　以旅彰文』的方向融入国家发展大局❤️国家《十四五规划纲要》下将香港定为✅️中外文化艺术交流中心，而《粤港澳大湾区文化和旅游发展规划》中亦提出支持香港发展成更✅️具竞争力国际文化交流平台以及✅️香港作为国际城市旅游枢纽和『一程多站』示范核心区的定位。」#杭州亚运会#杭州亚运会#杨润雄局长##香港文化体育及旅游局# 杭州,7793192675,香港文化体育及旅游局,m,2023/08/01,14:45:42,0,0,1, , , , , , 
https://m.weibo.cn/detail/4929945543903837,炎炎夏日，骄阳似火，从清晨到傍晚，城市的每一个角落，都有他们的身影。他们在烈日下穿梭在城市街面一线，不断地巡查、采集、核查...全面深入巡查采集城市问题并采集上报，只为当好城市管理的“眼睛”，守护着城市的整洁有序，他们就是--数字城管采集员。#杭州亚运会##一瓶水接力#  2023纯悦夏季大型送清凉公益行动（第六季）走进杭州市数字城管信息采集工作一线，向坚守在岗位的他们送去“清凉”关怀。 #我们在乎#   #可有为 乐有梦## @华润万家华东 @杭州之家 @浙江省青少年发展基金会 浙江太古可口可乐的微博视频,1909443992,浙江太古可口可乐,f,2023/08/01,15:14:34,3,16,15, , , , , , 
 , , , , , , , , , ,6384801344,是幸运的锦鲤铃铛吖,f,2023/8/01,15:31:24,棒棒哒
 , , , , , , , , , ,6401227553,修崽的女孩,f,2023/9/01,08:25:13,早
 , , , , , , , , , ,6801702813,紫色兴兴-,f,2023/8/23,22:42:48,
 , , , , , , , , , ,6492224204,琳洋YANG,f,2023/8/12,09:20:01,
 , , , , , , , , , ,5915754104,微末空白,f,2023/8/02,09:38:59,
 , , , , , , , , , ,7753203493,欣的石榴1218,f,2023/8/01,15:36:28,
 , , , , , , , , , ,6524027044,Your_PinaColada,f,2023/8/03,00:10:39,
 , , , , , , , , , ,6524027044,Your_PinaColada,f,2023/8/02,13:53:06,
 , , , , , , , , , ,3828636534,我猜你知道527,f,2023/8/01,15:40:26,棒棒哒👍
 , , , , , , , , , ,6340908588,兴空下的紫色梦境,f,2023/8/30,16:57:56,
 , , , , , , , , , ,6534743200,和心动小羊去私奔,f,2023/8/08,09:53:52,
 , , , , , , , , , ,2127891077,雨人1号,m,2023/8/01,15:28:35,台风天，凉爽了很多
https://m.weibo.cn/detail/4929945480207447,花花这是白的晃眼睛呀！#杭州亚运会# ,5361901536,Miss柒C,f,2023/08/01,15:14:19,0,1,0, , , , , , 
 , , , , , , , , , ,5878659096,超话社区,m,2023/8/01,15:14:20,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会
https://m.weibo.cn/detail/4929968301414833,【电信10000双语专席热线速递亚运温度】#杭州亚运会#已进入倒计时，中国电信浙江公司10000客服热线配备了双语座席，用户拨打10000后，根据语音提示即可进入英语服务专席，目前该专席可以为客户提供故障报障、账务查询、业务咨询、投诉申告等服务，实现一站式服务体验，让来自世界各地的亚运友人都能享受到中国电信的优质服务。#同亚运共精彩##用户至上 用心服务#,1975415803,中国电信,m,2023/08/01,16:45:00,204,120,53, , , , , , 
 , , , , , , , , , ,1417781011,中国电信福建公司,m,2023/8/01,16:59:31,【电信10000双语专席热线速递亚运温度】
 , , , , , , , , , ,2105854392,中国电信广西公司,m,2023/8/02,11:27:26,【电信10000双语专席热线速递亚运温度】#杭州亚运会#
 , , , , , , , , , ,2006278231,中国电信重庆客服,f,2023/8/04,13:49:53,【电信10000双语专席热线速递亚运温度】
 , , , , , , , , , ,2034403760,中国电信新疆公司,m,2023/8/01,19:05:04,【电信10000双语专席热线速递亚运温度】
 , , , , , , , , , ,1988824660,河南电信,m,2023/8/01,17:17:03,【电信10000双语专席热线速递亚运温度】
 , , , , , , , , , ,5878659096,超话社区,m,2023/8/01,16:45:01,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会
 , , , , , , , , , ,5512535399,精修的狮子,f,2023/9/27,09:03:26,🤙
 , , , , , , , , , ,5512535399,精修的狮子,f,2023/9/27,09:03:23,🖖
 , , , , , , , , , ,5512535399,精修的狮子,f,2023/9/27,09:03:20,👍
 , , , , , , , , , ,2118877135,银川晨曦,m,2023/9/25,10:46:52,
 , , , , , , , , , ,2118877135,银川晨曦,m,2023/9/25,10:46:47,
 , , , , , , , , , ,2118877135,银川晨曦,m,2023/9/25,10:46:43,
 , , , , , , , , , ,1731414401,马欣平,m,2023/9/13,08:02:20,🙏🙏
 , , , , , , , , , ,1731414401,马欣平,m,2023/9/09,10:34:24,👍👍
 , , , , , , , , , ,1947074722,呵呵1234qqq,m,2023/8/09,09:48:59,👍👍👍
 , , , , , , , , , ,1947074722,呵呵1234qqq,m,2023/8/09,09:48:56,👍👍
 , , , , , , , , , ,1947074722,呵呵1234qqq,m,2023/8/09,09:48:52,👍
