楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
1750686365,5522294604,“为了提升千分之一秒，穷尽一切可能”这是属于奥运冠军鲍珊菊的“骑”迹冠军，不是终点！她的“骑”迹仍在继续！未来故事更值得期待👊#BSNX骑迹##国家队#鲍珊菊#骑行##奥运冠军#杭州亚运会#杭州亚运会# bossini_X的微博视频 ,,Songqingjun先生,m,False,-1,0,259,461,33,9,2023/09/01,2023/9/02,17:01:26,0,0
7627202148,5878659096,近几天的训练准备日常#亚运会##杭州亚运会# ,你好，你感兴趣的“亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 亚运会,超话社区,m,True,7,0,22426,1140,2.4亿,39,2023/09/01,2023/9/01,18:12:43,0,0
5568215808,1018780490,拥有啦！#杭州亚运会# ,,ImagineDwww,m,False,-1,0,35,408,72,9,2023/09/01,2023/9/01,19:52:33,0,0
5568215808,5878659096,拥有啦！#杭州亚运会# ,你好，你感兴趣的“杭州亚运会”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 杭州2022年亚运会,超话社区,m,True,7,0,22426,1140,2.4亿,39,2023/09/01,2023/9/01,19:51:31,0,0
5750512661,5878659096,#冒个泡##杭州亚运会#  你为杭州亚运拼过命吗 ,你好，你感兴趣的“冒个泡”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 冒个泡,超话社区,m,True,7,0,22426,1140,2.4亿,39,2023/09/01,2023/9/01,19:26:48,0,0
7395713087,5551181946,亚运经典：征服“魔鬼主场” 国羽摘下男团金牌2018年雅加达亚运会羽毛球男团决赛，中国队3比1战胜主场作战的印尼队，中国队赢得三场比赛都打了三盘，尤其男单第一场精彩程度和抓马程度都爆表。男单：石宇奇 14-21 23-21 21-20 金廷（伤退）男双：李俊慧/刘雨辰 17-21 18-21吉迪恩/苏卡穆约男单：谌龙 19-21 21-16 21-18乔纳坦-克里斯蒂男双：刘成/张楠 21-18 17-21 21-18阿尔弗兰/雅迪安托#杭州亚运会# 体坛小猪君的微博视频,双塔哪有打三盘,浪子是个小不点儿,m,False,-1,0,17888,2413,586,19,2023/09/01,2023/9/01,20:50:53,7,0
7395713087,7272764925,亚运经典：征服“魔鬼主场” 国羽摘下男团金牌2018年雅加达亚运会羽毛球男团决赛，中国队3比1战胜主场作战的印尼队，中国队赢得三场比赛都打了三盘，尤其男单第一场精彩程度和抓马程度都爆表。男单：石宇奇 14-21 23-21 21-20 金廷（伤退）男双：李俊慧/刘雨辰 17-21 18-21吉迪恩/苏卡穆约男单：谌龙 19-21 21-16 21-18乔纳坦-克里斯蒂男双：刘成/张楠 21-18 17-21 21-18阿尔弗兰/雅迪安托#杭州亚运会# 体坛小猪君的微博视频,蛋总捏,鸡冠哥丝,m,False,-1,0,61,100,7,4,2023/09/01,2023/9/01,23:25:23,3,0
7395713087,2812841605,亚运经典：征服“魔鬼主场” 国羽摘下男团金牌2018年雅加达亚运会羽毛球男团决赛，中国队3比1战胜主场作战的印尼队，中国队赢得三场比赛都打了三盘，尤其男单第一场精彩程度和抓马程度都爆表。男单：石宇奇 14-21 23-21 21-20 金廷（伤退）男双：李俊慧/刘雨辰 17-21 18-21吉迪恩/苏卡穆约男单：谌龙 19-21 21-16 21-18乔纳坦-克里斯蒂男双：刘成/张楠 21-18 17-21 21-18阿尔弗兰/雅迪安托#杭州亚运会# 体坛小猪君的微博视频,很可惜2014年男团决赛输给了韩国，要不然中国就是四连冠了,迷曼十余载,m,False,-1,0,581,936,303,29,2023/09/01,2023/9/01,22:09:49,2,0
7395713087,5722676429,亚运经典：征服“魔鬼主场” 国羽摘下男团金牌2018年雅加达亚运会羽毛球男团决赛，中国队3比1战胜主场作战的印尼队，中国队赢得三场比赛都打了三盘，尤其男单第一场精彩程度和抓马程度都爆表。男单：石宇奇 14-21 23-21 21-20 金廷（伤退）男双：李俊慧/刘雨辰 17-21 18-21吉迪恩/苏卡穆约男单：谌龙 19-21 21-16 21-18乔纳坦-克里斯蒂男双：刘成/张楠 21-18 17-21 21-18阿尔弗兰/雅迪安托#杭州亚运会# 体坛小猪君的微博视频,廷廷赛点退赛了？,yiyi不吃辣_,f,False,-1,0,122,906,131,4,2023/09/01,2023/9/01,23:08:43,1,1
7395713087,6121945370,亚运经典：征服“魔鬼主场” 国羽摘下男团金牌2018年雅加达亚运会羽毛球男团决赛，中国队3比1战胜主场作战的印尼队，中国队赢得三场比赛都打了三盘，尤其男单第一场精彩程度和抓马程度都爆表。男单：石宇奇 14-21 23-21 21-20 金廷（伤退）男双：李俊慧/刘雨辰 17-21 18-21吉迪恩/苏卡穆约男单：谌龙 19-21 21-16 21-18乔纳坦-克里斯蒂男双：刘成/张楠 21-18 17-21 21-18阿尔弗兰/雅迪安托#杭州亚运会# 体坛小猪君的微博视频,然后金庭个人赛大爆发淘汰了桃田贤斗和谌龙,StAmbroseSjr,m,False,-1,0,34,257,6,4,2023/09/01,2023/9/01,23:49:25,0,1
