话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4941055104387974,"【#亚运在浙里# | 轮到江浙风味了！揭秘运动员菜单[馋]】东坡肉、宋嫂鱼羹、稻香鸡.....#杭州亚运会#运动员餐厅菜单已审核确定，记者陈一麟@Yilin10101 提前打卡运动员餐厅，并从亚组委后勤保障部了解到点心里加入定胜糕，寓意运动员旗开得胜！#亚运村运动员餐厅9月9日开餐运行#Dongpo pork, Sister Song's Fish Broth... Check out the mouthwatering menu for athletes of the upcoming Hangzhou Asian Games. Organizers say the dishes have been designed to cater to different tastes in order to keep participants well-fed. They also hope to present a taste of Zhejiang flavor. CGTN的微博视频",3173633817,CGTN,m,2023/09/01,07:00:00,2,1,6, , , , , , 
 , , , , , , , , , ,1666717332,爱谁谁的号,m,2023/9/01,07:47:53,嗯，牛肉东坡肉，多么自轻自贱啦
https://m.weibo.cn/detail/4941055092851221,//@公益体彩:#杭州亚运会# 走进亚运场馆 聆听亚运故事 感受亚运氛围~ 杭州体彩“小候鸟”亚运场馆公益行圆满落幕！#公益体彩 乐善人生#,2107334460,xiaoer-22,f,2023/09/01,06:59:57,0,0,1, , , , , , 
https://m.weibo.cn/detail/4941054652187860,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,5850230320,王者风范_40631,f,2023/09/01,06:58:12,0,15,24, , , , , , 
 , , , , , , , , , ,5800207364,佳嘉颖子,f,2023/9/01,07:05:16,早上好
 , , , , , , , , , ,5843759345,小月山风_678906,f,2023/9/01,06:58:45,姐姐早上好
 , , , , , , , , , ,5792178114,sw-k宝,f,2023/9/01,07:13:27,早上好
 , , , , , , , , , ,5793054411,臭臭的阿姨,m,2023/9/01,08:19:01,早
 , , , , , , , , , ,5977166484,姥花精,f,2023/9/01,08:49:57,早上好
 , , , , , , , , , ,6052375718,宋运辉的金丝边眼镜,f,2023/9/01,07:13:50,早
 , , , , , , , , , ,2634835503,lovely独爱烟熏妆,f,2023/9/01,14:43:37,周五愉快
 , , , , , , , , , ,6081132372,玛里苟斯之父,m,2023/9/01,07:04:43,:#王凯宋运辉#早上好王凯｜顾南亭｜向风而行｜陈宇｜我们这十年｜宋运辉｜｜夏远｜猎狐｜赵祯｜清平乐｜王凯演技｜千面｜王凯原声台词｜王凯低音炮#王凯大江大河3#
 , , , , , , , , , ,5871891885,雅馨妹儿-611,f,2023/9/01,10:05:15,
 , , , , , , , , , ,1103244014,神秘橘子头,f,2023/9/01,07:29:57,早
 , , , , , , , , , ,5460465670,fr夜阑风静,f,2023/9/01,07:14:15,早上好
 , , , , , , , , , ,5796345059,天天高兴1234567,f,2023/9/01,06:59:10,
https://m.weibo.cn/detail/4941049712084106,#每天早起打卡##杭州亚运会# 大家早上好！杭州亚运会就要来了～杭州欢迎您！ ,5900008118,强度榜,m,2023/09/01,06:38:34,6,10,28, , , , , , 
 , , , , , , , , , ,5617190980,清语花开山满红,f,2023/9/01,10:33:30,打卡
 , , , , , , , , , ,2638844272,WB狮子座,m,2023/9/01,09:39:50,打卡
 , , , , , , , , , ,5803280883,春雨19691113,m,2023/9/01,08:52:15,老师早上好
 , , , , , , , , , ,6212635967,红尘客好运连连,m,2023/9/01,07:48:12,
 , , , , , , , , , ,2635912753,涨了就不停,m,2023/9/01,07:23:01,老师早
 , , , , , , , , , ,1744894125,依云_468,f,2023/9/01,07:16:30,早上好
 , , , , , , , , , ,6427967941,安静玩具58,m,2023/9/01,06:51:07,早上好
 , , , , , , , , , ,7833830759,B000166,m,2023/9/01,06:49:42,早安
https://m.weibo.cn/detail/4941040819896716,推迟一年让哪些人无缘亚运？回顾22年呼声最高的中国亚运阵容  本届亚运会因为各种原因推迟了一年举办，而在一年中各个选手的表现和状态也发生了巨大的改变，让我们回顾一下2022年初呼声最高的中国亚运阵容  上单：Bin/圣枪哥/369  打野：Wei/Jiejie/Tian  中单：Xiaohu/Knight  下路：GALA/Jackeylove/Light  辅助：Meiko/Ming  #亚运会英雄联盟中国队最终名单##杭州亚运会##2023lpl夏季赛#,3199129113,candy爱吃泡泡糖,f,2023/09/01,06:03:14,1854,654,5384, , , , , , 
https://m.weibo.cn/detail/4941061282857662,豁，男篮女篮都在澳洲为亚运热身#杭州亚运会# ,1756561125,StarXia澳洲篮球,m,2023/09/01,07:24:33,0,10,19, , , , , , 
 , , , , , , , , , ,6359691341,推开世界的门men,m,2023/9/01,11:56:42,湾湾和棒子都很看重亚运会的，都在集训
 , , , , , , , , , ,5127481130,lonescu,m,2023/9/01,11:23:11,亚洲杯是不是已经掉入B组了？
 , , , , , , , , , ,1998671627,早期重度抑郁症患者,m,2023/9/01,07:56:46,福建那个女湾湾，咋没来
 , , , , , , , , , ,5027228159,超人会不会飞_,m,2023/9/01,08:23:37,湾湾男女篮看起来怎么都那么的寒酸样
 , , , , , , , , , ,7285767308,YB柔落,m,2023/9/01,19:14:43,@StarXia澳洲篮球 哥，听其它媒体人说湾区翼龙解散了，消息是否属实啊
https://m.weibo.cn/detail/4941056535691589,//@公益体彩:#杭州亚运会# 走进亚运场馆 聆听亚运故事 感受亚运氛围~ 杭州体彩“小候鸟”亚运场馆公益行圆满落幕！#公益体彩 乐善人生#,2331685907,年七瑾,f,2023/09/01,07:05:41,0,0,0, , , , , , 
https://m.weibo.cn/detail/4941055109367254,#小水滴看亚运##杭州亚运会#上城体育中心体育场为亚运会足球项目比赛场地，场馆内设有固定坐席1.35万个，地处杭州钱江新城核心区块，与亚运村相距约7公里，距离杭州奥体中心约6公里，距杭州火车东站约6.5公里。 ,3085373993,宁聚体育SYNERGY-SPORTS,f,2023/09/01,07:00:01,0,0,0, , , , , , 
https://m.weibo.cn/detail/4941055104387974,"【#亚运在浙里# | 轮到江浙风味了！揭秘运动员菜单[馋]】东坡肉、宋嫂鱼羹、稻香鸡.....#杭州亚运会#运动员餐厅菜单已审核确定，记者陈一麟@Yilin10101 提前打卡运动员餐厅，并从亚组委后勤保障部了解到点心里加入定胜糕，寓意运动员旗开得胜！#亚运村运动员餐厅9月9日开餐运行#Dongpo pork, Sister Song's Fish Broth... Check out the mouthwatering menu for athletes of the upcoming Hangzhou Asian Games. Organizers say the dishes have been designed to cater to different tastes in order to keep participants well-fed. They also hope to present a taste of Zhejiang flavor. CGTN的微博视频",3173633817,CGTN,m,2023/09/01,07:00:00,2,1,6, , , , , , 
 , , , , , , , , , ,1666717332,爱谁谁的号,m,2023/9/01,07:47:53,嗯，牛肉东坡肉，多么自轻自贱啦
https://m.weibo.cn/detail/4941085304686416,【你好，九月】今天是九月第一天，#今年只剩三分之一#，你的年度目标完成了多少呢？星光不问赶路人，时光不负有心人。九月，我们享受收获的喜悦，经历阖家团圆的幸福，还会为#杭州亚运会# 的运动健儿喝彩！2023年余下的三分之一时光，跟移动人一起勇敢前行吧！#秋风里的移动人# #心级服务 移路相伴# ,2001627641,中国移动,f,2023/09/01,09:00:00,2638,565,1113, , , , , , 
 , , , , , , , , , ,1006336960,襄阳移动,f,2023/9/11,09:05:54,
 , , , , , , , , , ,2810397384,十堰移动官方微博,m,2023/9/04,15:35:33,
 , , , , , , , , , ,2499225982,黄石移动官方微博,m,2023/9/04,01:23:36,
 , , , , , , , , , ,1976048673,中国移动广东公司,f,2023/9/01,11:09:40,你好，九月
 , , , , , , , , , ,5071956072,湖北移动天门公司,m,2023/9/01,10:32:11,
 , , , , , , , , , ,5071956072,湖北移动天门公司,m,2023/9/01,10:32:07,
 , , , , , , , , , ,1927201407,宜昌移动,f,2023/9/01,09:19:49,
 , , , , , , , , , ,1927201407,宜昌移动,f,2023/9/01,09:19:45,
 , , , , , , , , , ,7847541326,吃水蜜桃的季节,m,2023/9/20,11:21:37,9月让我们一起享受收获的喜悦！
 , , , , , , , , , ,6208986233,糯米的团子,f,2023/9/19,12:08:40,九月加油，希望所有的好运都如约而至
 , , , , , , , , , ,7772413877,皎洁的的月光,f,2023/9/19,11:59:47,让我们跟中国移动一起为运动健儿加油
 , , , , , , , , , ,7819875581,人生如梦百里挑一,m,2023/9/19,11:46:54,九月真的是非常不错的月份加油年轻人
 , , , , , , , , , ,5058233150,大大小小的明天,m,2023/9/19,11:42:04,真的是正能量满满必须支持一下中国移动
 , , , , , , , , , ,2015319231,长沙移动,f,2023/9/01,17:53:07,今天是九月第一天，#今年只剩三分之一#，你的年度目标完成了多少呢？
 , , , , , , , , , ,3938864702,兜兜婆婆,f,2023/9/01,15:57:27,九月，加油
 , , , , , , , , , ,6148930791,教授不吃芝麻糖,f,2023/9/01,16:19:59,1
 , , , , , , , , , ,6081885792,海边的六便士99,m,2023/9/01,16:16:48,九月好
 , , , , , , , , , ,7299855297,暖暖入春,f,2023/9/01,16:15:39,九月，你好！
 , , , , , , , , , ,2524381613,落无清清,f,2023/9/01,16:12:33,
 , , , , , , , , , ,5371236360,假如我是春水流,m,2023/9/01,16:42:45,
 , , , , , , , , , ,1119970955,小晓妈咪小晓,f,2023/9/01,16:12:15,9月加油
