楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
3173633817,1666717332,"【#亚运在浙里# | 轮到江浙风味了！揭秘运动员菜单[馋]】东坡肉、宋嫂鱼羹、稻香鸡.....#杭州亚运会#运动员餐厅菜单已审核确定，记者陈一麟@Yilin10101 提前打卡运动员餐厅，并从亚组委后勤保障部了解到点心里加入定胜糕，寓意运动员旗开得胜！#亚运村运动员餐厅9月9日开餐运行#Dongpo pork, Sister Song's Fish Broth... Check out the mouthwatering menu for athletes of the upcoming Hangzhou Asian Games. Organizers say the dishes have been designed to cater to different tastes in order to keep participants well-fed. They also hope to present a taste of Zhejiang flavor. CGTN的微博视频",嗯，牛肉东坡肉，多么自轻自贱啦,爱谁谁的号,m,False,-1,0,9759,177,247,27,2023/09/01,2023/9/01,07:47:53,0,0
5850230320,5800207364,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,早上好,佳嘉颖子,f,True,0,0,60366,327,1844,45,2023/09/01,2023/9/01,07:05:16,1,1
5850230320,5843759345,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,姐姐早上好,小月山风_678906,f,True,0,0,18308,409,1435,39,2023/09/01,2023/9/01,06:58:45,1,1
5850230320,5792178114,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,早上好,sw-k宝,f,False,-1,0,40743,367,358,41,2023/09/01,2023/9/01,07:13:27,1,1
5850230320,5793054411,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,早,臭臭的阿姨,m,False,-1,0,9074,61,26,9,2023/09/01,2023/9/01,08:19:01,0,1
5850230320,5977166484,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,早上好,姥花精,f,True,0,0,63696,373,859,40,2023/09/01,2023/9/01,08:49:57,0,1
5850230320,6052375718,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,早,宋运辉的金丝边眼镜,f,True,0,0,13710,524,250,0,2023/09/01,2023/9/01,07:13:50,0,1
5850230320,2634835503,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,周五愉快,lovely独爱烟熏妆,f,False,-1,0,55895,2115,844,44,2023/09/01,2023/9/01,14:43:37,0,1
5850230320,6081132372,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,:#王凯宋运辉#早上好王凯｜顾南亭｜向风而行｜陈宇｜我们这十年｜宋运辉｜｜夏远｜猎狐｜赵祯｜清平乐｜王凯演技｜千面｜王凯原声台词｜王凯低音炮#王凯大江大河3#,玛里苟斯之父,m,False,-1,0,56978,936,973,33,2023/09/01,2023/9/01,07:04:43,0,1
5850230320,5871891885,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,,雅馨妹儿-611,f,False,-1,0,20370,372,290,9,2023/09/01,2023/9/01,10:05:15,0,1
5850230320,1103244014,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,早,神秘橘子头,f,True,0,0,68441,450,588,43,2023/09/01,2023/9/01,07:29:57,0,1
5850230320,5460465670,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,早上好,fr夜阑风静,f,False,-1,0,40685,73,188,14,2023/09/01,2023/9/01,07:14:15,0,1
5850230320,5796345059,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,,天天高兴1234567,f,True,0,0,54179,860,562,37,2023/09/01,2023/9/01,06:59:10,0,1
5900008118,5617190980,#每天早起打卡##杭州亚运会# 大家早上好！杭州亚运会就要来了～杭州欢迎您！ ,打卡,清语花开山满红,f,False,-1,0,4920,215,77,0,2023/09/01,2023/9/01,10:33:30,0,0
5900008118,2638844272,#每天早起打卡##杭州亚运会# 大家早上好！杭州亚运会就要来了～杭州欢迎您！ ,打卡,WB狮子座,m,False,-1,0,4567,206,96,9,2023/09/01,2023/9/01,09:39:50,0,0
