话题链接,楼主ID,话题内容,楼主昵称,楼主性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,发布时间,转发量,评论量,点赞量
https://m.weibo.cn/detail/4941055104387974,3173633817,"【#亚运在浙里# | 轮到江浙风味了！揭秘运动员菜单[馋]】东坡肉、宋嫂鱼羹、稻香鸡.....#杭州亚运会#运动员餐厅菜单已审核确定，记者陈一麟@Yilin10101 提前打卡运动员餐厅，并从亚组委后勤保障部了解到点心里加入定胜糕，寓意运动员旗开得胜！#亚运村运动员餐厅9月9日开餐运行#Dongpo pork, Sister Song's Fish Broth... Check out the mouthwatering menu for athletes of the upcoming Hangzhou Asian Games. Organizers say the dishes have been designed to cater to different tastes in order to keep participants well-fed. They also hope to present a taste of Zhejiang flavor. CGTN的微博视频",CGTN,m,true,3,0,90472,138,606.8万,48,2023/09/01,07:00:00,2,1,6
https://m.weibo.cn/detail/4941055092851221,2107334460,//@公益体彩:#杭州亚运会# 走进亚运场馆 聆听亚运故事 感受亚运氛围~ 杭州体彩“小候鸟”亚运场馆公益行圆满落幕！#公益体彩 乐善人生#,xiaoer-22,f,false,-1,0,700,197,5993,21,2023/09/01,06:59:57,0,0,1
https://m.weibo.cn/detail/4941054652187860,5850230320,西湖因你们更美～早安，@王凯kkw 开启美好的九月，一起迎接杭州亚运会！#王凯宋运辉##王凯大江大河3##杭州亚运会#王凯 ,王者风范_40631,f,true,0,0,24735,269,2376,43,2023/09/01,06:58:12,0,15,24
https://m.weibo.cn/detail/4941049712084106,5900008118,#每天早起打卡##杭州亚运会# 大家早上好！杭州亚运会就要来了～杭州欢迎您！ ,强度榜,m,true,0,2,9916,1157,11.2万,4,2023/09/01,06:38:34,6,10,28
https://m.weibo.cn/detail/4941040819896716,3199129113,推迟一年让哪些人无缘亚运？回顾22年呼声最高的中国亚运阵容  本届亚运会因为各种原因推迟了一年举办，而在一年中各个选手的表现和状态也发生了巨大的改变，让我们回顾一下2022年初呼声最高的中国亚运阵容  上单：Bin/圣枪哥/369  打野：Wei/Jiejie/Tian  中单：Xiaohu/Knight  下路：GALA/Jackeylove/Light  辅助：Meiko/Ming  #亚运会英雄联盟中国队最终名单##杭州亚运会##2023lpl夏季赛#,candy爱吃泡泡糖,f,false,-1,0,521,184,1037,4,2023/09/01,06:03:14,1854,654,5384
https://m.weibo.cn/detail/4941061282857662,1756561125,豁，男篮女篮都在澳洲为亚运热身#杭州亚运会# ,StarXia澳洲篮球,m,true,0,0,6306,469,28.2万,39,2023/09/01,07:24:33,0,10,19
https://m.weibo.cn/detail/4941056535691589,2331685907,//@公益体彩:#杭州亚运会# 走进亚运场馆 聆听亚运故事 感受亚运氛围~ 杭州体彩“小候鸟”亚运场馆公益行圆满落幕！#公益体彩 乐善人生#,年七瑾,f,false,-1,0,4750,510,496,26,2023/09/01,07:05:41,0,0,0
https://m.weibo.cn/detail/4941055109367254,3085373993,#小水滴看亚运##杭州亚运会#上城体育中心体育场为亚运会足球项目比赛场地，场馆内设有固定坐席1.35万个，地处杭州钱江新城核心区块，与亚运村相距约7公里，距离杭州奥体中心约6公里，距杭州火车东站约6.5公里。 ,宁聚体育SYNERGY-SPORTS,f,true,2,50,1472,507,694,20,2023/09/01,07:00:01,0,0,0
https://m.weibo.cn/detail/4941055104387974,3173633817,"【#亚运在浙里# | 轮到江浙风味了！揭秘运动员菜单[馋]】东坡肉、宋嫂鱼羹、稻香鸡.....#杭州亚运会#运动员餐厅菜单已审核确定，记者陈一麟@Yilin10101 提前打卡运动员餐厅，并从亚组委后勤保障部了解到点心里加入定胜糕，寓意运动员旗开得胜！#亚运村运动员餐厅9月9日开餐运行#Dongpo pork, Sister Song's Fish Broth... Check out the mouthwatering menu for athletes of the upcoming Hangzhou Asian Games. Organizers say the dishes have been designed to cater to different tastes in order to keep participants well-fed. They also hope to present a taste of Zhejiang flavor. CGTN的微博视频",CGTN,m,true,3,0,90472,138,606.8万,48,2023/09/01,07:00:00,2,1,6
https://m.weibo.cn/detail/4941085304686416,2001627641,【你好，九月】今天是九月第一天，#今年只剩三分之一#，你的年度目标完成了多少呢？星光不问赶路人，时光不负有心人。九月，我们享受收获的喜悦，经历阖家团圆的幸福，还会为#杭州亚运会# 的运动健儿喝彩！2023年余下的三分之一时光，跟移动人一起勇敢前行吧！#秋风里的移动人# #心级服务 移路相伴# ,中国移动,f,true,2,50,49791,647,1148.6万,48,2023/09/01,09:00:00,2638,565,1113
